frame,Period,Time [s],Away_11_x,Away_11_y,Away_1_x,Away_1_y,Away_2_x,Away_2_y,Away_3_x,Away_3_y,Away_4_x,Away_4_y,Away_5_x,Away_5_y,Away_6_x,Away_6_y,Away_7_x,Away_7_y,Away_8_x,Away_8_y,Away_9_x,Away_9_y,Away_10_x,Away_10_y,ball_y
0,1,0.0,-41.95110731939435,-0.3408267973770833,-10.167346938775523,23.714285714285715,-10.744217687074837,1.5714285714285694,-10.599999999999994,-7.285714285714285,7.138775510204084,26.999999999999993,13.05170068027212,19.285714285714285,13.772789115646262,11.285714285714285,4.975510204081623,20.14285714285714,-1.4534428595770805,11.396210021750797,4.110204081632645,-6.285714285714292,-10.167346938775523,15.857142857142854,24.284477301458686
1,1,0.05,-41.95254013610206,-0.3087574086955627,-9.98745200349002,23.768739551144506,-10.678158087192926,1.611004921280255,-10.533804926809331,-7.2340504588668075,7.267535189152369,27.064395637175323,13.084141436229345,19.22696115310471,13.73529230190941,11.21928583857548,5.035158324491711,20.111077889103093,-1.392082096266357,11.117054089644313,4.303308480609175,-6.39091060613508,-10.22910952758592,15.800841343918478,23.207248568666174
2,1,0.1,-41.95848203216223,-0.278807803643204,-9.817821387977148,23.818212370510004,-10.618001657172954,1.648604797729142,-10.475781464969756,-7.1862153163669475,7.393608579803143,27.12542050865801,13.115184633516279,19.168654592803023,13.698161297155224,11.1526460159632,5.0909098035199065,20.078073329274886,-1.3354783078900638,10.848605322405717,4.484011771469895,-6.495748639379801,-10.286233670156754,15.749753194285134,22.141756180044183
3,1,0.15,-41.96884684682291,-0.2509374768003454,-9.658372622623936,23.862715771368094,-10.563719999907796,1.6841904993791132,-10.425817763833436,-7.142191366171218,7.517014226625314,27.183102658279232,13.144841464879974,19.110791028307624,13.661392352543288,11.085796984070612,5.142794176088032,20.043854020393667,-1.2836676010580348,10.590574875786189,4.652418731132869,-6.6002294571840245,-10.338973212409677,15.703615625662309,21.088000135592672
4,1,0.2,-41.98354841933215,-0.22510592274726804,-9.509023237817246,23.902261352704627,-10.515284718290275,1.7177243248340446,-10.3838019727526,-7.1019611162363,7.637770674087825,27.237470129870132,13.173123123067413,19.053366883116873,13.624981719233134,11.018740909090916,5.1908409771181,20.00843051948052,-1.236686082380217,10.342673905536763,4.808634136516048,-6.704354131283303,-10.387582000266427,15.662165855469475,20.045980435311662
5,1,0.25,-42.00250058893799,-0.20127263606438106,-9.369690763944035,23.93686071350548,-10.472667415213209,1.7491685726978332,-10.349622241079466,-7.0655070745188056,7.755896466659578,27.28855096726192,13.200040800825533,18.996378580729164,13.588925648384361,10.951479957217266,5.235079741532033,19.971813383556558,-1.194569858466366,10.104613567408585,4.952762764537468,-6.808123733413197,-10.432313879648675,15.625141101126104,19.015697079201175
6,1,0.3,-42.025617194888476,-0.17939711133195857,-9.24029273139125,23.966525452756535,-10.435839693569427,1.778485541574348,-10.323166718166256,-7.032811748975352,7.871410148809531,27.336373214285693,13.225605690901375,18.939822544642844,13.553220391156458,10.884016294642862,5.2755400042517095,19.93401316964286,-1.1573550359264004,9.876105017152732,5.084909392115108,-6.911539335309236,-10.473422696478117,15.592278580051662,17.99715006726118
7,1,0.35,-42.052812076431636,-0.15943884313037415,-9.120746670545891,23.991267169443702,-10.404773156251807,1.8056375300675214,-10.304323553365172,-7.003857647562537,7.984330265006562,27.380964914772726,13.249828986041848,18.883695198356335,13.517862198709011,10.816352087560887,5.312251300199044,19.895040434760553,-1.1250777213702108,9.656859410520319,5.205178796166926,-7.014602008706952,-10.511162296676495,15.563315509665664,16.99033939949168
8,1,0.4,-42.083999072815516,-0.14135732603994455,-9.010970111794819,24.011097462552797,-10.379439406153132,1.8305868367811797,-10.292980896028425,-6.978627278236999,8.094675359719645,27.42235411255413,13.272721878994005,18.827992965367976,13.482847322201593,10.74848950216451,5.345243164296022,19.854905735930735,-1.0977740214076093,9.44658790326244,5.313675753610966,-7.117312825341976,-10.545786526165472,15.537989107387553,15.995265075892696
9,1,0.45,-42.11909202328817,-0.12511205464100073,-8.910880585525057,24.026027931069734,-10.359810046166253,1.8532957603192202,-10.289026895508215,-6.9571031489553405,8.202463977417672,27.46056885146104,13.2942955625048,18.772712269176147,13.448172012793748,10.68043070464691,5.374545131464522,19.81361963017452,-1.075480042648472,9.245001651130181,5.410505041365234,-7.219672856949799,-10.577549230866786,15.516036590636809,15.011927096464198
10,1,0.5,-42.15800476709763,-0.11066252351390204,-8.820395622123478,24.036070173980328,-10.345856679184017,1.8737265992855754,-10.292349701156773,-6.9392677676742025,8.307714662569595,27.495637175324674,13.31456122932127,18.717849533279228,13.413832521645006,10.612177861201303,5.400186736626473,19.77119267451299,-1.0582318917026328,9.051811809874678,5.495771436347667,-7.321683175266049,-10.606704256702088,15.497195176832918,14.040325461206216
11,1,0.55,-42.20065114349194,-0.09796822723893683,-8.739432751977063,24.041235790270555,-10.337550908099281,1.8918416522840786,-10.30283746232628,-6.925103642350209,8.410445959644285,27.527587127976183,13.333530072190328,18.663401181175594,13.379825099914981,10.54373313802084,5.4221975147037895,19.727635425967264,-1.0460656751800315,8.866729535247003,5.569579715476294,-7.423344852026176,-10.633505449593123,15.481202083395353,13.08046017011874
